	psoriasis	atherosclerosis	kartagena	CHD	ASD
psoriasis	-0.0	inf	-0.0	0.06612320870636336	-0.0
atherosclerosis	inf	-0.0	-0.0	2.320910991789346	-0.0
kartagena	-0.0	-0.0	-0.0	3.611280279881174e-05	2.4773389184945107
CHD	0.06612320870636336	2.320910991789346	3.611280279881174e-05	-0.0	268.4122720437931
ASD	-0.0	-0.0	2.4773389184945107	268.4122720437931	-0.0
