,child,parent
519,RPA4,923
520,FOXO3,886
521,HR,856
522,DNAJB14,889
523,FBXO46,869
524,CCNG2,920
525,CELF4,877
526,864,937
527,AGAP4,883
528,ZCWPW2,900
529,ZDHHC12,858
530,CECR6,900
531,ZBTB18,962
532,PSENEN,851
533,ANKRD10,962
534,GRIN2B,852
535,939,959
536,BICRAL,889
537,955,963
538,CHD5,870
539,MAMDC4,914
540,TSHZ1,883
541,TYW5,856
542,BAHD1,963
543,912,933
544,SLC16A6,963
545,SEPW1,869
546,HIST1H3J,872
547,MLLT10,881
548,PAPD7,901
549,CNOT6L,963
550,BRD2,872
551,DYRK2,948
552,MRAS,893
553,TIGD7,848
554,EPC2,962
555,TRABD2A,963
556,PHF2,856
557,WASHC4,920
558,PALD1,900
559,MROH2A,963
560,TNRC6B,905
561,UHRF2,962
562,SETX,939
563,ING2,866
564,948,962
565,CDY2B,870
566,STX1B,855
567,EZH1,925
568,IRF2BP2,869
569,NKAIN2,845
570,EXO5,963
571,TRAPPC10,952
572,898,943
573,SMC5,947
574,941,947
575,ZNF292,868
576,RPS6KA6,893
577,KIF5A,854
578,KDM2A,898
579,AGO3,956
580,KDM4A,872
581,SP4,963
582,JAG2,851
583,SALL3,847
584,959,962
585,U2SURP,963
586,ANO3,963
587,FNIP1,963
588,PRTG,874
589,SMARCA1,876
590,UTRN,920
591,TMEM132B,890
592,878,928
593,NR2C2,963
594,MAP9,869
595,SNX27,963
596,BID,906
597,YAP1,888
598,ZCCHC6,889
599,ZC2HC1A,891
600,CHDH,869
601,C8ORF4,869
602,NLGN1,863
603,ZFR2,857
604,FOXN4,850
605,MEF2D,963
606,JARID2,876
607,TPR,849
608,928,953
609,PLAGL2,963
610,RASA2,963
611,ATN1,934
612,KDM5C,872
613,BRD4,880
614,EPYC,891
615,SRGAP2,861
616,846,911
617,KMT2A,898
618,N4BP2L2,889
619,IKZF2,918
620,932,950
621,951,960
622,PROSER3,847
623,931,937
624,ARHGEF7,901
625,PUM2,912
626,908,951
627,HIST1H3D,872
628,942,963
629,RBPJ,948
630,DNMT3L,880
631,ZNF136,905
632,906,930
633,SLITRK3,855
634,SIN3A,876
635,C14orf132,845
636,UTY,856
637,TLK2,941
638,KDM3B,947
639,UBN2,963
640,949,959
641,ZZZ3,962
642,CHD8,898
643,MYL12B,879
644,POGZ,925
645,BPTF,853
646,MPDZ,888
647,GATAD2B,914
648,903,961
649,RSF1,882
650,SUPT6H,872
651,RAPGEF2,962
652,PSEN2,851
653,PTPRZ1,867
654,KLHL4,926
655,ATP1B2,877
656,LRRTM2,897
657,FAM53C,861
658,SETD5,901
659,BRPF1,866
660,957,960
661,BAT2L1,904
662,SVBP,963
663,HDGFL2,894
664,APPL1,920
665,AGO2,920
666,E2F5,955
667,KCNJ9,855
668,TAOK1,901
669,DOT1L,950
670,919,940
671,SUMO2,943
672,SETD7,846
673,961,963
674,NRCAM,854
675,SPTBN4,859
676,MYO9A,963
677,SOX9,913
678,SLC24A2,879
679,ATP2B1,959
680,MORC3,912
681,PIK3CA,892
682,936,963
683,ZDHHC14,858
684,CEP170,962
685,SMARCD1,872
686,ANKS1B,930
687,MCOLN2,845
688,MYST1,963
689,PTEN,892
690,DYRK1A,920
691,SATB1,963
692,SP9,963
693,NOTCH1,913
694,APBA2,945
695,POTEB2,904
696,MTCL1,903
697,CHAMP1,869
698,EHMT1,846
699,ISL1,890
700,PYGO1,886
701,WDFY3,920
702,AFDN,861
703,UNC5A,865
704,NAV1,861
705,DNAJC13,892
706,PATE3,869
707,PLP1,890
708,MIB1,963
709,FOXF2,963
710,DDX17,949
711,KLF11,884
712,929,961
713,ANKRD11,963
714,USF3,963
715,TTC17,956
716,863,946
717,MCM3AP,963
718,MAP3K9,913
719,NFAT5,956
720,CBLB,939
721,MROH6,963
722,USP7,948
723,PPP2R2B,944
724,866,881
725,852,931
726,ST18,963
727,KDM6A,940
728,LRRC4,906
729,PHYHIP,855
730,PCBP4,914
731,KDM4C,876
732,SYT11,877
733,ZDHHC21,858
734,ARID4A,853
735,TJAP1,934
736,MAP2,854
737,895,931
738,HPCAL4,895
739,SMARCB1,880
740,DIDO1,919
741,BTBD3,938
742,FOXP1,963
743,ROR2,850
744,SMARCC1,886
745,RERE,925
746,SYNGAP1,879
747,RFX8,963
748,944,958
749,APOPT1,963
750,861,909
751,930,961
752,DNMT3A,919
753,SNRK,956
754,INTS3,904
755,SUV39H2,846
756,NCK1,920
757,ROBO3,890
758,BAI1,945
759,GFRA2,879
760,CALB2,854
761,909,963
762,TENM4,874
763,SAMD4A,884
764,FABP7,863
765,938,963
766,884,896
767,CCDC93,889
768,SDK2,874
769,SPANXD,963
770,GAREM2,963
771,KLHL28,963
772,ZBTB20,905
773,RASGRP1,879
774,AGAP7P,936
775,MAPT,918
776,ZNF24,939
777,NBEAL1,963
778,890,924
779,CCDC186,963
780,BAZ2B,868
781,BRD3,887
782,ATRNL1,893
783,MED13,943
784,915,922
785,IGSF10,878
786,KAT2B,939
787,PHF15,963
788,SF3B1,849
789,REV3L,868
790,872,950
791,893,916
792,927,945
793,MBD6,891
794,ARID1A,887
795,RBFOX2,888
796,SETMAR,862
797,HIST1H4B,873
798,KLF12,928
799,LRRFIP1,949
800,LOC105370298,883
801,GFRA1,875
802,GPM6B,890
803,IQSEC2,945
804,BRPF3,866
805,UNC79,961
806,CLEC4F,884
807,SYN1,854
808,ARMC5,847
809,847,903
810,KDM5A,853
811,PRR20D,883
812,DTNA,945
813,AL136295.5,963
814,933,941
815,NCOR1,898
816,ZFP3,906
817,902,928
818,VGLL4,934
819,SP140L,963
820,KMT2D,911
821,NFASC,859
822,GAREM1,878
823,AKAP13,905
824,ARIH1,956
825,WHSC1,914
826,ZBTB4,963
827,MTHFD2L,963
828,894,963
829,ZC3H11A,947
830,TP53BP1,914
831,HIST2H3A,873
832,859,897
833,LYST,889
834,RUNX1T1,934
835,SETD1A,911
836,SUPT5H,872
837,ZSWIM8,884
838,CBX4,880
839,SPTAN1,897
840,HIST1H4J,873
841,CHD6,870
842,PRR35,963
843,LRRN2,864
844,ERBIN,892
845,KAT8,870
846,LOC102724334,963
847,NF1,917
848,CNOT4,956
849,937,946
850,H3F3C,908
851,PBRM1,957
852,PGF,851
853,FMR1,892
854,HERC1,941
855,APC,892
856,LRCH3,963
857,OMG,854
858,SMYD4,862
859,PHF20,963
860,HSPBAP1,962
861,940,957
862,853,898
863,GSE1,901
864,867,963
865,NUTM2B,884
866,SETD4,862
867,MGEA5,912
868,INTS6L,963
869,MYH10,888
870,SPAST,892
871,AKAP9,939
872,HIST1H2AJ,872
873,PCNX1,889
874,858,871
875,904,963
876,ZDHHC11B,858
877,ANKRD12,889
878,AC008575.1,847
879,GON4L,925
880,NKAIN3,844
881,MPHOSPH8,956
882,KAT6A,853
883,PRR23B,963
884,UNC5B,850
885,TMEM170B,963
886,NAP1L6,893
887,LINC01194,847
888,CREB1,892
889,SAMD3,963
890,CHD2,870
891,EMSY,963
892,ZNF865,963
893,PIAS1,939
894,850,865
895,845,860
896,NFATC3,959
897,NSD2,911
898,KLF14,906
899,NINL,903
900,945,958
901,PRR29,963
902,GLDN,874
903,ACTN4,888
904,896,929
905,HELB,963
906,JMJD8,856
907,BCL9L,908
908,MAML1,901
909,PRR20A,883
910,BAZ1A,898
911,923,955
912,960,963
913,PAN3,963
914,TRIP12,892
915,SMG1,849
916,910,923
917,CDYL2,870
918,SETD6,862
919,SMAD2,892
920,870,907
921,892,939
922,SPRED1,857
923,ZNF185,847
924,HIPK2,934
925,958,961
926,SMARCC2,887
927,PTPN12,920
928,CTTNBP2NL,963
929,RSBN1,941
930,ZNF238,900
931,SCN10A,854
932,DSCAM,874
933,868,933
934,SPOP,963
935,PHF14,866
936,MECP2,949
937,SCAI,894
938,RBMS1,913
939,GPR113,857
940,SLC8A2,864
941,DSCAML1,874
942,952,956
943,TMEM260,889
944,TNIK,891
945,LRP1,851
946,PAPD4,948
947,IPO13,940
948,C11orf53,963
949,GRIK2,863
950,SYNE2,959
951,FAM110A,861
952,CLASP1,959
953,SHANK2,926
954,KIAA2026,963
955,CALML6,879
956,ANKRD17,849
957,SMYD1,862
958,PHF1,919
959,FAM208A,962
960,FAM168B,934
961,879,946
962,TAF3,866
